,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,0.370582871,0.370582871,0.370582871,0.370582871,0.370582871,0.370582871,0.370582871,0.370582871,0.370582871,0.370582871,0.370582871,0.370582871,0.370582871,0.370582871,0.370582871,0.370582871,0.370582871,0.370582871,0.370582871,0.370582871
2015-01-01 01:00:00,0.374634367,0.374634367,0.374634367,0.374634367,0.374634367,0.374634367,0.374634367,0.374634367,0.374634367,0.374634367,0.374634367,0.374634367,0.374634367,0.374634367,0.374634367,0.374634367,0.374634367,0.374634367,0.374634367,0.374634367
2015-01-01 02:00:00,0.369668146,0.369668146,0.369668146,0.369668146,0.369668146,0.369668146,0.369668146,0.369668146,0.369668146,0.369668146,0.369668146,0.369668146,0.369668146,0.369668146,0.369668146,0.369668146,0.369668146,0.369668146,0.369668146,0.369668146
2015-01-01 03:00:00,0.366909947,0.366909947,0.366909947,0.366909947,0.366909947,0.366909947,0.366909947,0.366909947,0.366909947,0.366909947,0.366909947,0.366909947,0.366909947,0.366909947,0.366909947,0.366909947,0.366909947,0.366909947,0.366909947,0.366909947
2015-01-01 04:00:00,0.366347577,0.366347577,0.366347577,0.366347577,0.366347577,0.366347577,0.366347577,0.366347577,0.366347577,0.366347577,0.366347577,0.366347577,0.366347577,0.366347577,0.366347577,0.366347577,0.366347577,0.366347577,0.366347577,0.366347577
2015-01-01 05:00:00,0.364545361,0.364545361,0.364545361,0.364545361,0.364545361,0.364545361,0.364545361,0.364545361,0.364545361,0.364545361,0.364545361,0.364545361,0.364545361,0.364545361,0.364545361,0.364545361,0.364545361,0.364545361,0.364545361,0.364545361
2015-01-01 06:00:00,0.362929451,0.362929451,0.362929451,0.362929451,0.362929451,0.362929451,0.362929451,0.362929451,0.362929451,0.362929451,0.362929451,0.362929451,0.362929451,0.362929451,0.362929451,0.362929451,0.362929451,0.362929451,0.362929451,0.362929451
2015-01-01 07:00:00,0.369042703,0.369042703,0.369042703,0.369042703,0.369042703,0.369042703,0.369042703,0.369042703,0.369042703,0.369042703,0.369042703,0.369042703,0.369042703,0.369042703,0.369042703,0.369042703,0.369042703,0.369042703,0.369042703,0.369042703
2015-01-01 08:00:00,0.360861394,0.360861394,0.360861394,0.360861394,0.360861394,0.360861394,0.360861394,0.360861394,0.360861394,0.360861394,0.360861394,0.360861394,0.360861394,0.360861394,0.360861394,0.360861394,0.360861394,0.360861394,0.360861394,0.360861394
2015-01-01 09:00:00,0.352965777,0.352965777,0.352965777,0.352965777,0.352965777,0.352965777,0.352965777,0.352965777,0.352965777,0.352965777,0.352965777,0.352965777,0.352965777,0.352965777,0.352965777,0.352965777,0.352965777,0.352965777,0.352965777,0.352965777
2015-01-01 10:00:00,0.345947691,0.345947691,0.345947691,0.345947691,0.345947691,0.345947691,0.345947691,0.345947691,0.345947691,0.345947691,0.345947691,0.345947691,0.345947691,0.345947691,0.345947691,0.345947691,0.345947691,0.345947691,0.345947691,0.345947691
2015-01-01 11:00:00,0.337740435,0.337740435,0.337740435,0.337740435,0.337740435,0.337740435,0.337740435,0.337740435,0.337740435,0.337740435,0.337740435,0.337740435,0.337740435,0.337740435,0.337740435,0.337740435,0.337740435,0.337740435,0.337740435,0.337740435
2015-01-01 12:00:00,0.344932226,0.344932226,0.344932226,0.344932226,0.344932226,0.344932226,0.344932226,0.344932226,0.344932226,0.344932226,0.344932226,0.344932226,0.344932226,0.344932226,0.344932226,0.344932226,0.344932226,0.344932226,0.344932226,0.344932226
2015-01-01 13:00:00,0.352779742,0.352779742,0.352779742,0.352779742,0.352779742,0.352779742,0.352779742,0.352779742,0.352779742,0.352779742,0.352779742,0.352779742,0.352779742,0.352779742,0.352779742,0.352779742,0.352779742,0.352779742,0.352779742,0.352779742
2015-01-01 14:00:00,0.353329512,0.353329512,0.353329512,0.353329512,0.353329512,0.353329512,0.353329512,0.353329512,0.353329512,0.353329512,0.353329512,0.353329512,0.353329512,0.353329512,0.353329512,0.353329512,0.353329512,0.353329512,0.353329512,0.353329512
2015-01-01 15:00:00,0.353949333,0.353949333,0.353949333,0.353949333,0.353949333,0.353949333,0.353949333,0.353949333,0.353949333,0.353949333,0.353949333,0.353949333,0.353949333,0.353949333,0.353949333,0.353949333,0.353949333,0.353949333,0.353949333,0.353949333
2015-01-01 16:00:00,0.364794468,0.364794468,0.364794468,0.364794468,0.364794468,0.364794468,0.364794468,0.364794468,0.364794468,0.364794468,0.364794468,0.364794468,0.364794468,0.364794468,0.364794468,0.364794468,0.364794468,0.364794468,0.364794468,0.364794468
2015-01-01 17:00:00,0.381542432,0.381542432,0.381542432,0.381542432,0.381542432,0.381542432,0.381542432,0.381542432,0.381542432,0.381542432,0.381542432,0.381542432,0.381542432,0.381542432,0.381542432,0.381542432,0.381542432,0.381542432,0.381542432,0.381542432
2015-01-01 18:00:00,0.39487796,0.39487796,0.39487796,0.39487796,0.39487796,0.39487796,0.39487796,0.39487796,0.39487796,0.39487796,0.39487796,0.39487796,0.39487796,0.39487796,0.39487796,0.39487796,0.39487796,0.39487796,0.39487796,0.39487796
2015-01-01 19:00:00,0.400781872,0.400781872,0.400781872,0.400781872,0.400781872,0.400781872,0.400781872,0.400781872,0.400781872,0.400781872,0.400781872,0.400781872,0.400781872,0.400781872,0.400781872,0.400781872,0.400781872,0.400781872,0.400781872,0.400781872
2015-01-01 20:00:00,0.395678056,0.395678056,0.395678056,0.395678056,0.395678056,0.395678056,0.395678056,0.395678056,0.395678056,0.395678056,0.395678056,0.395678056,0.395678056,0.395678056,0.395678056,0.395678056,0.395678056,0.395678056,0.395678056,0.395678056
2015-01-01 21:00:00,0.393863849,0.393863849,0.393863849,0.393863849,0.393863849,0.393863849,0.393863849,0.393863849,0.393863849,0.393863849,0.393863849,0.393863849,0.393863849,0.393863849,0.393863849,0.393863849,0.393863849,0.393863849,0.393863849,0.393863849
2015-01-01 22:00:00,0.397327027,0.397327027,0.397327027,0.397327027,0.397327027,0.397327027,0.397327027,0.397327027,0.397327027,0.397327027,0.397327027,0.397327027,0.397327027,0.397327027,0.397327027,0.397327027,0.397327027,0.397327027,0.397327027,0.397327027
2015-01-01 23:00:00,0.400898601,0.400898601,0.400898601,0.400898601,0.400898601,0.400898601,0.400898601,0.400898601,0.400898601,0.400898601,0.400898601,0.400898601,0.400898601,0.400898601,0.400898601,0.400898601,0.400898601,0.400898601,0.400898601,0.400898601
2015-01-02 00:00:00,0.394931819,0.394931819,0.394931819,0.394931819,0.394931819,0.394931819,0.394931819,0.394931819,0.394931819,0.394931819,0.394931819,0.394931819,0.394931819,0.394931819,0.394931819,0.394931819,0.394931819,0.394931819,0.394931819,0.394931819
2015-01-02 01:00:00,0.3894642,0.3894642,0.3894642,0.3894642,0.3894642,0.3894642,0.3894642,0.3894642,0.3894642,0.3894642,0.3894642,0.3894642,0.3894642,0.3894642,0.3894642,0.3894642,0.3894642,0.3894642,0.3894642,0.3894642
2015-01-02 02:00:00,0.392046729,0.392046729,0.392046729,0.392046729,0.392046729,0.392046729,0.392046729,0.392046729,0.392046729,0.392046729,0.392046729,0.392046729,0.392046729,0.392046729,0.392046729,0.392046729,0.392046729,0.392046729,0.392046729,0.392046729
2015-01-02 03:00:00,0.388840653,0.388840653,0.388840653,0.388840653,0.388840653,0.388840653,0.388840653,0.388840653,0.388840653,0.388840653,0.388840653,0.388840653,0.388840653,0.388840653,0.388840653,0.388840653,0.388840653,0.388840653,0.388840653,0.388840653
2015-01-02 04:00:00,0.384438699,0.384438699,0.384438699,0.384438699,0.384438699,0.384438699,0.384438699,0.384438699,0.384438699,0.384438699,0.384438699,0.384438699,0.384438699,0.384438699,0.384438699,0.384438699,0.384438699,0.384438699,0.384438699,0.384438699
2015-01-02 05:00:00,0.383709602,0.383709602,0.383709602,0.383709602,0.383709602,0.383709602,0.383709602,0.383709602,0.383709602,0.383709602,0.383709602,0.383709602,0.383709602,0.383709602,0.383709602,0.383709602,0.383709602,0.383709602,0.383709602,0.383709602
2015-01-02 06:00:00,0.380367828,0.380367828,0.380367828,0.380367828,0.380367828,0.380367828,0.380367828,0.380367828,0.380367828,0.380367828,0.380367828,0.380367828,0.380367828,0.380367828,0.380367828,0.380367828,0.380367828,0.380367828,0.380367828,0.380367828
2015-01-02 07:00:00,0.377963067,0.377963067,0.377963067,0.377963067,0.377963067,0.377963067,0.377963067,0.377963067,0.377963067,0.377963067,0.377963067,0.377963067,0.377963067,0.377963067,0.377963067,0.377963067,0.377963067,0.377963067,0.377963067,0.377963067
2015-01-02 08:00:00,0.366433683,0.366433683,0.366433683,0.366433683,0.366433683,0.366433683,0.366433683,0.366433683,0.366433683,0.366433683,0.366433683,0.366433683,0.366433683,0.366433683,0.366433683,0.366433683,0.366433683,0.366433683,0.366433683,0.366433683
2015-01-02 09:00:00,0.356291292,0.356291292,0.356291292,0.356291292,0.356291292,0.356291292,0.356291292,0.356291292,0.356291292,0.356291292,0.356291292,0.356291292,0.356291292,0.356291292,0.356291292,0.356291292,0.356291292,0.356291292,0.356291292,0.356291292
2015-01-02 10:00:00,0.342901295,0.342901295,0.342901295,0.342901295,0.342901295,0.342901295,0.342901295,0.342901295,0.342901295,0.342901295,0.342901295,0.342901295,0.342901295,0.342901295,0.342901295,0.342901295,0.342901295,0.342901295,0.342901295,0.342901295
2015-01-02 11:00:00,0.325551531,0.325551531,0.325551531,0.325551531,0.325551531,0.325551531,0.325551531,0.325551531,0.325551531,0.325551531,0.325551531,0.325551531,0.325551531,0.325551531,0.325551531,0.325551531,0.325551531,0.325551531,0.325551531,0.325551531
2015-01-02 12:00:00,0.321732002,0.321732002,0.321732002,0.321732002,0.321732002,0.321732002,0.321732002,0.321732002,0.321732002,0.321732002,0.321732002,0.321732002,0.321732002,0.321732002,0.321732002,0.321732002,0.321732002,0.321732002,0.321732002,0.321732002
2015-01-02 13:00:00,0.316710702,0.316710702,0.316710702,0.316710702,0.316710702,0.316710702,0.316710702,0.316710702,0.316710702,0.316710702,0.316710702,0.316710702,0.316710702,0.316710702,0.316710702,0.316710702,0.316710702,0.316710702,0.316710702,0.316710702
2015-01-02 14:00:00,0.318695429,0.318695429,0.318695429,0.318695429,0.318695429,0.318695429,0.318695429,0.318695429,0.318695429,0.318695429,0.318695429,0.318695429,0.318695429,0.318695429,0.318695429,0.318695429,0.318695429,0.318695429,0.318695429,0.318695429
2015-01-02 15:00:00,0.334379488,0.334379488,0.334379488,0.334379488,0.334379488,0.334379488,0.334379488,0.334379488,0.334379488,0.334379488,0.334379488,0.334379488,0.334379488,0.334379488,0.334379488,0.334379488,0.334379488,0.334379488,0.334379488,0.334379488
2015-01-02 16:00:00,0.345372245,0.345372245,0.345372245,0.345372245,0.345372245,0.345372245,0.345372245,0.345372245,0.345372245,0.345372245,0.345372245,0.345372245,0.345372245,0.345372245,0.345372245,0.345372245,0.345372245,0.345372245,0.345372245,0.345372245
2015-01-02 17:00:00,0.355769366,0.355769366,0.355769366,0.355769366,0.355769366,0.355769366,0.355769366,0.355769366,0.355769366,0.355769366,0.355769366,0.355769366,0.355769366,0.355769366,0.355769366,0.355769366,0.355769366,0.355769366,0.355769366,0.355769366
2015-01-02 18:00:00,0.366017579,0.366017579,0.366017579,0.366017579,0.366017579,0.366017579,0.366017579,0.366017579,0.366017579,0.366017579,0.366017579,0.366017579,0.366017579,0.366017579,0.366017579,0.366017579,0.366017579,0.366017579,0.366017579,0.366017579
