,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,-64736,-3223,-136791,-23120,-75043,-18135,-1540,-66879,-55371,-16208,-24228,-87117,-20363,-76178,-5198,-53405,-8925,-28689,-62795,-23285
2015-01-01 01:00:00,-64011,-3186,-135261,-22862,-74204,-17932,-1523,-66130,-54751,-16027,-23957,-86142,-20135,-75326,-5139,-52807,-8825,-28368,-62092,-23025
2015-01-01 02:00:00,-51887,-2583,-109640,-18531,-60149,-14536,-1235,-53604,-44381,-12991,-19419,-69825,-16321,-61058,-4166,-42805,-7153,-22994,-50331,-18664
2015-01-01 03:00:00,-71687,-3569,-151480,-25603,-83102,-20082,-1706,-74060,-61317,-17948,-26830,-96472,-22549,-84358,-5756,-59140,-9883,-31769,-69538,-25786
2015-01-01 04:00:00,-67261,-3348,-142127,-24022,-77971,-18842,-1600,-69487,-57531,-16840,-25173,-90515,-21157,-79150,-5400,-55488,-9273,-29808,-65244,-24194
2015-01-01 05:00:00,-69581,-3464,-147028,-24851,-80659,-19492,-1656,-71884,-59515,-17421,-26041,-93636,-21887,-81879,-5587,-57402,-9592,-30836,-67494,-25028
2015-01-01 06:00:00,-85002,-4231,-179615,-30358,-98536,-23812,-2023,-87816,-72705,-21282,-31813,-114389,-26738,-100026,-6825,-70124,-11718,-37670,-82453,-30575
2015-01-01 07:00:00,-65787,-3275,-139013,-23496,-76262,-18430,-1565,-67965,-56270,-16471,-24621,-88532,-20694,-77415,-5282,-54272,-9070,-29155,-63815,-23664
2015-01-01 08:00:00,-106680,-5311,-225423,-38101,-123666,-29885,-2538,-110212,-91248,-26710,-39926,-143562,-33557,-125536,-8565,-88008,-14707,-47277,-103482,-38373
2015-01-01 09:00:00,-158691,-7900,-335325,-56676,-183959,-44455,-3776,-163944,-135734,-39731,-59391,-213555,-49917,-186740,-12741,-130915,-21877,-70326,-153933,-57081
2015-01-01 10:00:00,-173118,-8618,-365811,-61829,-200683,-48497,-4119,-178849,-148075,-43344,-64791,-232970,-54455,-203718,-13900,-142817,-23866,-76720,-167927,-62270
2015-01-01 11:00:00,-246131,-12252,-520091,-87905,-285321,-68951,-5856,-254278,-210525,-61624,-92116,-331225,-77421,-289635,-19762,-203050,-33932,-109077,-238751,-88533
2015-01-01 12:00:00,-264169,-13150,-558208,-94348,-306232,-74004,-6286,-272914,-225954,-66140,-98867,-355499,-83095,-310862,-21210,-217931,-36419,-117071,-256248,-95021
2015-01-01 13:00:00,-264655,-13175,-559234,-94521,-306795,-74140,-6297,-273416,-226369,-66262,-99049,-356153,-83248,-311434,-21249,-218332,-36486,-117286,-256719,-95196
2015-01-01 14:00:00,-249285,-12409,-526756,-89032,-288978,-69834,-5931,-257537,-213223,-62413,-93297,-335469,-78413,-293347,-20015,-205652,-34367,-110475,-241810,-89667
2015-01-01 15:00:00,-239936,-11944,-507000,-85693,-278139,-67215,-5709,-247878,-205226,-60073,-89798,-322887,-75472,-282345,-19264,-197939,-33078,-106331,-232741,-86304
2015-01-01 16:00:00,-285635,-14219,-603567,-102014,-331115,-80017,-6796,-295090,-244315,-71514,-106901,-384387,-89847,-336122,-22933,-235640,-39378,-126584,-277071,-102742
2015-01-01 17:00:00,-294892,-14680,-623126,-105320,-341846,-82611,-7017,-304653,-252232,-73832,-110365,-396843,-92759,-347015,-23677,-243276,-40654,-130686,-286050,-106072
2015-01-01 18:00:00,-301065,-14987,-636171,-107525,-349002,-84340,-7164,-311031,-257512,-75378,-112676,-405151,-94701,-354279,-24172,-248369,-41505,-133422,-292038,-108292
2015-01-01 19:00:00,-233601,-11629,-493614,-83430,-270796,-65441,-5558,-241334,-199808,-58487,-87427,-314363,-73480,-274891,-18756,-192713,-32204,-103524,-226596,-84026
2015-01-01 20:00:00,-176583,-8790,-373131,-63066,-204699,-49468,-4202,-182428,-151038,-44211,-66087,-237631,-55544,-207794,-14178,-145675,-24344,-78255,-171288,-63516
2015-01-01 21:00:00,-213042,-10605,-450172,-76088,-246963,-59681,-5069,-220094,-182223,-53339,-79732,-286696,-67013,-250698,-17105,-175753,-29370,-94413,-206654,-76631
2015-01-01 22:00:00,-224195,-11160,-473739,-80071,-259893,-62806,-5334,-231616,-191762,-56132,-83907,-301705,-70521,-263822,-18000,-184954,-30908,-99356,-217473,-80642
2015-01-01 23:00:00,-30519,-1519,-64489,-10900,-35379,-8550,-726,-31530,-26104,-7641,-11422,-41071,-9600,-35914,-2450,-25177,-4207,-13525,-29604,-10978
2015-01-02 00:00:00,-40852,-2034,-86322,-14590,-47356,-11444,-972,-42204,-34942,-10228,-15289,-54975,-12850,-48072,-3280,-33701,-5632,-18104,-39627,-14694
2015-01-02 01:00:00,-46323,-2306,-97883,-16544,-53698,-12977,-1102,-47856,-39621,-11598,-17337,-62337,-14571,-54510,-3719,-38215,-6386,-20529,-44934,-16662
2015-01-02 02:00:00,-40450,-2014,-85473,-14447,-46891,-11332,-962,-41789,-34598,-10127,-15139,-54435,-12724,-47600,-3248,-33370,-5576,-17926,-39237,-14550
2015-01-02 03:00:00,-46959,-2338,-99227,-16771,-54436,-13155,-1117,-48513,-40166,-11757,-17575,-63194,-14771,-55259,-3770,-38740,-6474,-20811,-45551,-16891
2015-01-02 04:00:00,-50256,-2502,-106194,-17949,-58258,-14079,-1196,-51919,-42986,-12583,-18809,-67631,-15808,-59139,-4035,-41459,-6928,-22272,-48749,-18077
2015-01-02 05:00:00,-46311,-2305,-97858,-16540,-53685,-12973,-1102,-47844,-39611,-11595,-17332,-62322,-14567,-54496,-3718,-38205,-6384,-20523,-44922,-16658
2015-01-02 06:00:00,-50027,-2490,-105710,-17867,-57992,-14014,-1190,-51683,-42790,-12525,-18723,-67323,-15736,-58869,-4017,-41271,-6897,-22170,-48527,-17995
2015-01-02 07:00:00,-59335,-2954,-125379,-21191,-68783,-16622,-1412,-61299,-50752,-14856,-22207,-79849,-18664,-69823,-4764,-48950,-8180,-26295,-57556,-21343
2015-01-02 08:00:00,-80701,-4017,-170527,-28822,-93551,-22607,-1920,-83372,-69027,-20205,-30203,-108601,-25385,-94965,-6479,-66576,-11126,-35764,-78281,-29028
2015-01-02 09:00:00,-160521,-7991,-339191,-57330,-186079,-44968,-3819,-165834,-137299,-40189,-60076,-216017,-50492,-188893,-12888,-132424,-22130,-71137,-155707,-57739
