,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,0.339936091,0.339936091,0.339936091,0.339936091,0.339936091,0.339936091,0.339936091,0.339936091,0.339936091,0.339936091,0.339936091,0.339936091,0.339936091,0.339936091,0.339936091,0.339936091,0.339936091,0.339936091,0.339936091,0.339936091
2015-01-01 01:00:00,0.34091646,0.34091646,0.34091646,0.34091646,0.34091646,0.34091646,0.34091646,0.34091646,0.34091646,0.34091646,0.34091646,0.34091646,0.34091646,0.34091646,0.34091646,0.34091646,0.34091646,0.34091646,0.34091646,0.34091646
2015-01-01 02:00:00,0.341685016,0.341685016,0.341685016,0.341685016,0.341685016,0.341685016,0.341685016,0.341685016,0.341685016,0.341685016,0.341685016,0.341685016,0.341685016,0.341685016,0.341685016,0.341685016,0.341685016,0.341685016,0.341685016,0.341685016
2015-01-01 03:00:00,0.342410504,0.342410504,0.342410504,0.342410504,0.342410504,0.342410504,0.342410504,0.342410504,0.342410504,0.342410504,0.342410504,0.342410504,0.342410504,0.342410504,0.342410504,0.342410504,0.342410504,0.342410504,0.342410504,0.342410504
2015-01-01 04:00:00,0.348816346,0.348816346,0.348816346,0.348816346,0.348816346,0.348816346,0.348816346,0.348816346,0.348816346,0.348816346,0.348816346,0.348816346,0.348816346,0.348816346,0.348816346,0.348816346,0.348816346,0.348816346,0.348816346,0.348816346
2015-01-01 05:00:00,0.350718766,0.350718766,0.350718766,0.350718766,0.350718766,0.350718766,0.350718766,0.350718766,0.350718766,0.350718766,0.350718766,0.350718766,0.350718766,0.350718766,0.350718766,0.350718766,0.350718766,0.350718766,0.350718766,0.350718766
2015-01-01 06:00:00,0.351342554,0.351342554,0.351342554,0.351342554,0.351342554,0.351342554,0.351342554,0.351342554,0.351342554,0.351342554,0.351342554,0.351342554,0.351342554,0.351342554,0.351342554,0.351342554,0.351342554,0.351342554,0.351342554,0.351342554
2015-01-01 07:00:00,0.351085587,0.351085587,0.351085587,0.351085587,0.351085587,0.351085587,0.351085587,0.351085587,0.351085587,0.351085587,0.351085587,0.351085587,0.351085587,0.351085587,0.351085587,0.351085587,0.351085587,0.351085587,0.351085587,0.351085587
2015-01-01 08:00:00,0.349641821,0.349641821,0.349641821,0.349641821,0.349641821,0.349641821,0.349641821,0.349641821,0.349641821,0.349641821,0.349641821,0.349641821,0.349641821,0.349641821,0.349641821,0.349641821,0.349641821,0.349641821,0.349641821,0.349641821
2015-01-01 09:00:00,0.349063777,0.349063777,0.349063777,0.349063777,0.349063777,0.349063777,0.349063777,0.349063777,0.349063777,0.349063777,0.349063777,0.349063777,0.349063777,0.349063777,0.349063777,0.349063777,0.349063777,0.349063777,0.349063777,0.349063777
2015-01-01 10:00:00,0.339371038,0.339371038,0.339371038,0.339371038,0.339371038,0.339371038,0.339371038,0.339371038,0.339371038,0.339371038,0.339371038,0.339371038,0.339371038,0.339371038,0.339371038,0.339371038,0.339371038,0.339371038,0.339371038,0.339371038
2015-01-01 11:00:00,0.33556941,0.33556941,0.33556941,0.33556941,0.33556941,0.33556941,0.33556941,0.33556941,0.33556941,0.33556941,0.33556941,0.33556941,0.33556941,0.33556941,0.33556941,0.33556941,0.33556941,0.33556941,0.33556941,0.33556941
2015-01-01 12:00:00,0.339476966,0.339476966,0.339476966,0.339476966,0.339476966,0.339476966,0.339476966,0.339476966,0.339476966,0.339476966,0.339476966,0.339476966,0.339476966,0.339476966,0.339476966,0.339476966,0.339476966,0.339476966,0.339476966,0.339476966
2015-01-01 13:00:00,0.338046898,0.338046898,0.338046898,0.338046898,0.338046898,0.338046898,0.338046898,0.338046898,0.338046898,0.338046898,0.338046898,0.338046898,0.338046898,0.338046898,0.338046898,0.338046898,0.338046898,0.338046898,0.338046898,0.338046898
2015-01-01 14:00:00,0.336192244,0.336192244,0.336192244,0.336192244,0.336192244,0.336192244,0.336192244,0.336192244,0.336192244,0.336192244,0.336192244,0.336192244,0.336192244,0.336192244,0.336192244,0.336192244,0.336192244,0.336192244,0.336192244,0.336192244
2015-01-01 15:00:00,0.338204415,0.338204415,0.338204415,0.338204415,0.338204415,0.338204415,0.338204415,0.338204415,0.338204415,0.338204415,0.338204415,0.338204415,0.338204415,0.338204415,0.338204415,0.338204415,0.338204415,0.338204415,0.338204415,0.338204415
2015-01-01 16:00:00,0.338242015,0.338242015,0.338242015,0.338242015,0.338242015,0.338242015,0.338242015,0.338242015,0.338242015,0.338242015,0.338242015,0.338242015,0.338242015,0.338242015,0.338242015,0.338242015,0.338242015,0.338242015,0.338242015,0.338242015
2015-01-01 17:00:00,0.339264999,0.339264999,0.339264999,0.339264999,0.339264999,0.339264999,0.339264999,0.339264999,0.339264999,0.339264999,0.339264999,0.339264999,0.339264999,0.339264999,0.339264999,0.339264999,0.339264999,0.339264999,0.339264999,0.339264999
2015-01-01 18:00:00,0.34492639,0.34492639,0.34492639,0.34492639,0.34492639,0.34492639,0.34492639,0.34492639,0.34492639,0.34492639,0.34492639,0.34492639,0.34492639,0.34492639,0.34492639,0.34492639,0.34492639,0.34492639,0.34492639,0.34492639
2015-01-01 19:00:00,0.350592799,0.350592799,0.350592799,0.350592799,0.350592799,0.350592799,0.350592799,0.350592799,0.350592799,0.350592799,0.350592799,0.350592799,0.350592799,0.350592799,0.350592799,0.350592799,0.350592799,0.350592799,0.350592799,0.350592799
2015-01-01 20:00:00,0.351450738,0.351450738,0.351450738,0.351450738,0.351450738,0.351450738,0.351450738,0.351450738,0.351450738,0.351450738,0.351450738,0.351450738,0.351450738,0.351450738,0.351450738,0.351450738,0.351450738,0.351450738,0.351450738,0.351450738
2015-01-01 21:00:00,0.352210457,0.352210457,0.352210457,0.352210457,0.352210457,0.352210457,0.352210457,0.352210457,0.352210457,0.352210457,0.352210457,0.352210457,0.352210457,0.352210457,0.352210457,0.352210457,0.352210457,0.352210457,0.352210457,0.352210457
2015-01-01 22:00:00,0.352278786,0.352278786,0.352278786,0.352278786,0.352278786,0.352278786,0.352278786,0.352278786,0.352278786,0.352278786,0.352278786,0.352278786,0.352278786,0.352278786,0.352278786,0.352278786,0.352278786,0.352278786,0.352278786,0.352278786
2015-01-01 23:00:00,0.354318412,0.354318412,0.354318412,0.354318412,0.354318412,0.354318412,0.354318412,0.354318412,0.354318412,0.354318412,0.354318412,0.354318412,0.354318412,0.354318412,0.354318412,0.354318412,0.354318412,0.354318412,0.354318412,0.354318412
2015-01-02 00:00:00,0.354213327,0.354213327,0.354213327,0.354213327,0.354213327,0.354213327,0.354213327,0.354213327,0.354213327,0.354213327,0.354213327,0.354213327,0.354213327,0.354213327,0.354213327,0.354213327,0.354213327,0.354213327,0.354213327,0.354213327
2015-01-02 01:00:00,0.353857412,0.353857412,0.353857412,0.353857412,0.353857412,0.353857412,0.353857412,0.353857412,0.353857412,0.353857412,0.353857412,0.353857412,0.353857412,0.353857412,0.353857412,0.353857412,0.353857412,0.353857412,0.353857412,0.353857412
2015-01-02 02:00:00,0.354584625,0.354584625,0.354584625,0.354584625,0.354584625,0.354584625,0.354584625,0.354584625,0.354584625,0.354584625,0.354584625,0.354584625,0.354584625,0.354584625,0.354584625,0.354584625,0.354584625,0.354584625,0.354584625,0.354584625
2015-01-02 03:00:00,0.354727612,0.354727612,0.354727612,0.354727612,0.354727612,0.354727612,0.354727612,0.354727612,0.354727612,0.354727612,0.354727612,0.354727612,0.354727612,0.354727612,0.354727612,0.354727612,0.354727612,0.354727612,0.354727612,0.354727612
2015-01-02 04:00:00,0.355243196,0.355243196,0.355243196,0.355243196,0.355243196,0.355243196,0.355243196,0.355243196,0.355243196,0.355243196,0.355243196,0.355243196,0.355243196,0.355243196,0.355243196,0.355243196,0.355243196,0.355243196,0.355243196,0.355243196
2015-01-02 05:00:00,0.356511953,0.356511953,0.356511953,0.356511953,0.356511953,0.356511953,0.356511953,0.356511953,0.356511953,0.356511953,0.356511953,0.356511953,0.356511953,0.356511953,0.356511953,0.356511953,0.356511953,0.356511953,0.356511953,0.356511953
2015-01-02 06:00:00,0.355379179,0.355379179,0.355379179,0.355379179,0.355379179,0.355379179,0.355379179,0.355379179,0.355379179,0.355379179,0.355379179,0.355379179,0.355379179,0.355379179,0.355379179,0.355379179,0.355379179,0.355379179,0.355379179,0.355379179
2015-01-02 07:00:00,0.354104193,0.354104193,0.354104193,0.354104193,0.354104193,0.354104193,0.354104193,0.354104193,0.354104193,0.354104193,0.354104193,0.354104193,0.354104193,0.354104193,0.354104193,0.354104193,0.354104193,0.354104193,0.354104193,0.354104193
2015-01-02 08:00:00,0.353625995,0.353625995,0.353625995,0.353625995,0.353625995,0.353625995,0.353625995,0.353625995,0.353625995,0.353625995,0.353625995,0.353625995,0.353625995,0.353625995,0.353625995,0.353625995,0.353625995,0.353625995,0.353625995,0.353625995
2015-01-02 09:00:00,0.351415568,0.351415568,0.351415568,0.351415568,0.351415568,0.351415568,0.351415568,0.351415568,0.351415568,0.351415568,0.351415568,0.351415568,0.351415568,0.351415568,0.351415568,0.351415568,0.351415568,0.351415568,0.351415568,0.351415568
2015-01-02 10:00:00,0.345993341,0.345993341,0.345993341,0.345993341,0.345993341,0.345993341,0.345993341,0.345993341,0.345993341,0.345993341,0.345993341,0.345993341,0.345993341,0.345993341,0.345993341,0.345993341,0.345993341,0.345993341,0.345993341,0.345993341
2015-01-02 11:00:00,0.338686057,0.338686057,0.338686057,0.338686057,0.338686057,0.338686057,0.338686057,0.338686057,0.338686057,0.338686057,0.338686057,0.338686057,0.338686057,0.338686057,0.338686057,0.338686057,0.338686057,0.338686057,0.338686057,0.338686057
2015-01-02 12:00:00,0.33451607,0.33451607,0.33451607,0.33451607,0.33451607,0.33451607,0.33451607,0.33451607,0.33451607,0.33451607,0.33451607,0.33451607,0.33451607,0.33451607,0.33451607,0.33451607,0.33451607,0.33451607,0.33451607,0.33451607
2015-01-02 13:00:00,0.335921161,0.335921161,0.335921161,0.335921161,0.335921161,0.335921161,0.335921161,0.335921161,0.335921161,0.335921161,0.335921161,0.335921161,0.335921161,0.335921161,0.335921161,0.335921161,0.335921161,0.335921161,0.335921161,0.335921161
2015-01-02 14:00:00,0.334829965,0.334829965,0.334829965,0.334829965,0.334829965,0.334829965,0.334829965,0.334829965,0.334829965,0.334829965,0.334829965,0.334829965,0.334829965,0.334829965,0.334829965,0.334829965,0.334829965,0.334829965,0.334829965,0.334829965
2015-01-02 15:00:00,0.336187094,0.336187094,0.336187094,0.336187094,0.336187094,0.336187094,0.336187094,0.336187094,0.336187094,0.336187094,0.336187094,0.336187094,0.336187094,0.336187094,0.336187094,0.336187094,0.336187094,0.336187094,0.336187094,0.336187094
2015-01-02 16:00:00,0.342225989,0.342225989,0.342225989,0.342225989,0.342225989,0.342225989,0.342225989,0.342225989,0.342225989,0.342225989,0.342225989,0.342225989,0.342225989,0.342225989,0.342225989,0.342225989,0.342225989,0.342225989,0.342225989,0.342225989
2015-01-02 17:00:00,0.351453827,0.351453827,0.351453827,0.351453827,0.351453827,0.351453827,0.351453827,0.351453827,0.351453827,0.351453827,0.351453827,0.351453827,0.351453827,0.351453827,0.351453827,0.351453827,0.351453827,0.351453827,0.351453827,0.351453827
2015-01-02 18:00:00,0.359919472,0.359919472,0.359919472,0.359919472,0.359919472,0.359919472,0.359919472,0.359919472,0.359919472,0.359919472,0.359919472,0.359919472,0.359919472,0.359919472,0.359919472,0.359919472,0.359919472,0.359919472,0.359919472,0.359919472
2015-01-02 19:00:00,0.356231363,0.356231363,0.356231363,0.356231363,0.356231363,0.356231363,0.356231363,0.356231363,0.356231363,0.356231363,0.356231363,0.356231363,0.356231363,0.356231363,0.356231363,0.356231363,0.356231363,0.356231363,0.356231363,0.356231363
2015-01-02 20:00:00,0.354549498,0.354549498,0.354549498,0.354549498,0.354549498,0.354549498,0.354549498,0.354549498,0.354549498,0.354549498,0.354549498,0.354549498,0.354549498,0.354549498,0.354549498,0.354549498,0.354549498,0.354549498,0.354549498,0.354549498
2015-01-02 21:00:00,0.358791423,0.358791423,0.358791423,0.358791423,0.358791423,0.358791423,0.358791423,0.358791423,0.358791423,0.358791423,0.358791423,0.358791423,0.358791423,0.358791423,0.358791423,0.358791423,0.358791423,0.358791423,0.358791423,0.358791423
2015-01-02 22:00:00,0.358799272,0.358799272,0.358799272,0.358799272,0.358799272,0.358799272,0.358799272,0.358799272,0.358799272,0.358799272,0.358799272,0.358799272,0.358799272,0.358799272,0.358799272,0.358799272,0.358799272,0.358799272,0.358799272,0.358799272
2015-01-02 23:00:00,0.357646139,0.357646139,0.357646139,0.357646139,0.357646139,0.357646139,0.357646139,0.357646139,0.357646139,0.357646139,0.357646139,0.357646139,0.357646139,0.357646139,0.357646139,0.357646139,0.357646139,0.357646139,0.357646139,0.357646139
2015-01-03 00:00:00,0.355630371,0.355630371,0.355630371,0.355630371,0.355630371,0.355630371,0.355630371,0.355630371,0.355630371,0.355630371,0.355630371,0.355630371,0.355630371,0.355630371,0.355630371,0.355630371,0.355630371,0.355630371,0.355630371,0.355630371
2015-01-03 01:00:00,0.360509071,0.360509071,0.360509071,0.360509071,0.360509071,0.360509071,0.360509071,0.360509071,0.360509071,0.360509071,0.360509071,0.360509071,0.360509071,0.360509071,0.360509071,0.360509071,0.360509071,0.360509071,0.360509071,0.360509071
2015-01-03 02:00:00,0.360358929,0.360358929,0.360358929,0.360358929,0.360358929,0.360358929,0.360358929,0.360358929,0.360358929,0.360358929,0.360358929,0.360358929,0.360358929,0.360358929,0.360358929,0.360358929,0.360358929,0.360358929,0.360358929,0.360358929
2015-01-03 03:00:00,0.360725714,0.360725714,0.360725714,0.360725714,0.360725714,0.360725714,0.360725714,0.360725714,0.360725714,0.360725714,0.360725714,0.360725714,0.360725714,0.360725714,0.360725714,0.360725714,0.360725714,0.360725714,0.360725714,0.360725714
2015-01-03 04:00:00,0.368842138,0.368842138,0.368842138,0.368842138,0.368842138,0.368842138,0.368842138,0.368842138,0.368842138,0.368842138,0.368842138,0.368842138,0.368842138,0.368842138,0.368842138,0.368842138,0.368842138,0.368842138,0.368842138,0.368842138
2015-01-03 05:00:00,0.368702839,0.368702839,0.368702839,0.368702839,0.368702839,0.368702839,0.368702839,0.368702839,0.368702839,0.368702839,0.368702839,0.368702839,0.368702839,0.368702839,0.368702839,0.368702839,0.368702839,0.368702839,0.368702839,0.368702839
