,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,0.250028805,0.250028805,0.250028805,0.250028805,0.250028805,0.250028805,0.250028805,0.250028805,0.250028805,0.250028805,0.250028805,0.250028805,0.250028805,0.250028805,0.250028805,0.250028805,0.250028805,0.250028805,0.250028805,0.250028805
2015-01-01 01:00:00,0.250018746,0.250018746,0.250018746,0.250018746,0.250018746,0.250018746,0.250018746,0.250018746,0.250018746,0.250018746,0.250018746,0.250018746,0.250018746,0.250018746,0.250018746,0.250018746,0.250018746,0.250018746,0.250018746,0.250018746
2015-01-01 02:00:00,0.250022278,0.250022278,0.250022278,0.250022278,0.250022278,0.250022278,0.250022278,0.250022278,0.250022278,0.250022278,0.250022278,0.250022278,0.250022278,0.250022278,0.250022278,0.250022278,0.250022278,0.250022278,0.250022278,0.250022278
2015-01-01 03:00:00,0.250031374,0.250031374,0.250031374,0.250031374,0.250031374,0.250031374,0.250031374,0.250031374,0.250031374,0.250031374,0.250031374,0.250031374,0.250031374,0.250031374,0.250031374,0.250031374,0.250031374,0.250031374,0.250031374,0.250031374
2015-01-01 04:00:00,0.250028533,0.250028533,0.250028533,0.250028533,0.250028533,0.250028533,0.250028533,0.250028533,0.250028533,0.250028533,0.250028533,0.250028533,0.250028533,0.250028533,0.250028533,0.250028533,0.250028533,0.250028533,0.250028533,0.250028533
2015-01-01 05:00:00,0.250029201,0.250029201,0.250029201,0.250029201,0.250029201,0.250029201,0.250029201,0.250029201,0.250029201,0.250029201,0.250029201,0.250029201,0.250029201,0.250029201,0.250029201,0.250029201,0.250029201,0.250029201,0.250029201,0.250029201
2015-01-01 06:00:00,0.250025113,0.250025113,0.250025113,0.250025113,0.250025113,0.250025113,0.250025113,0.250025113,0.250025113,0.250025113,0.250025113,0.250025113,0.250025113,0.250025113,0.250025113,0.250025113,0.250025113,0.250025113,0.250025113,0.250025113
2015-01-01 07:00:00,0.25003179,0.25003179,0.25003179,0.25003179,0.25003179,0.25003179,0.25003179,0.25003179,0.25003179,0.25003179,0.25003179,0.25003179,0.25003179,0.25003179,0.25003179,0.25003179,0.25003179,0.25003179,0.25003179,0.25003179
2015-01-01 08:00:00,0.250044188,0.250044188,0.250044188,0.250044188,0.250044188,0.250044188,0.250044188,0.250044188,0.250044188,0.250044188,0.250044188,0.250044188,0.250044188,0.250044188,0.250044188,0.250044188,0.250044188,0.250044188,0.250044188,0.250044188
2015-01-01 09:00:00,0.250068776,0.250068776,0.250068776,0.250068776,0.250068776,0.250068776,0.250068776,0.250068776,0.250068776,0.250068776,0.250068776,0.250068776,0.250068776,0.250068776,0.250068776,0.250068776,0.250068776,0.250068776,0.250068776,0.250068776
2015-01-01 10:00:00,0.250090347,0.250090347,0.250090347,0.250090347,0.250090347,0.250090347,0.250090347,0.250090347,0.250090347,0.250090347,0.250090347,0.250090347,0.250090347,0.250090347,0.250090347,0.250090347,0.250090347,0.250090347,0.250090347,0.250090347
2015-01-01 11:00:00,0.250104928,0.250104928,0.250104928,0.250104928,0.250104928,0.250104928,0.250104928,0.250104928,0.250104928,0.250104928,0.250104928,0.250104928,0.250104928,0.250104928,0.250104928,0.250104928,0.250104928,0.250104928,0.250104928,0.250104928
